name,link,affiliations,email,cited_by
Ahmad Januar Amri,https://scholar.google.com/citations?hl=en&user=wHb9KwkAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,3049.0
FIRSTITO RAHMAN ABDILLAH,https://scholar.google.com/citations?hl=en&user=EMtXjDAAAAAJ,TEKNOKRAT,Verified email at teknokrat.ac.id,2820.0
Rohmat Indra Borman,https://scholar.google.com/citations?hl=en&user=MLf7eZQAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,2368.0
Afit Santoso,https://scholar.google.com/citations?hl=en&user=0TCSYjMAAAAJ,student at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,2343.0
Heni Sulistiani,https://scholar.google.com/citations?hl=en&user=nyO4JcQAAAAJ,Assistant Professor at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,2197.0
"Dr.Sc. Dedi Darwis, M.Kom.",https://scholar.google.com/citations?hl=en&user=p4-7UvwAAAAJ,Assistant Professor of Computer Science at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,2126.0
Aditya Gumantan,https://scholar.google.com/citations?hl=en&user=EcHDu5wAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1968.0
Qadhli Jafar Adrian,https://scholar.google.com/citations?hl=en&user=Y5MgRRYAAAAJ,Assistant Professor at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1935.0
Damayanti,https://scholar.google.com/citations?hl=en&user=xT3EyT4AAAAJ,Assistant Professor of Computer Science at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1875.0
"Rizki Yuliandra, M.Pd",https://scholar.google.com/citations?hl=en&user=1BSEYXIAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1717.0
S. Samsugi M.Eng.,https://scholar.google.com/citations?hl=en&user=C8FK6x4AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1658.0
Imam Mahfud,https://scholar.google.com/citations?hl=en&user=5kw024oAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1658.0
Rachmi Marsheilla Aguss,https://scholar.google.com/citations?hl=en&user=aZnAoQQAAAAJ,Assistant Professor Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1622.0
Setiawansyah,https://scholar.google.com/citations?hl=en&user=-gQJ7pUAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1505.0
Imam Ahmad,https://scholar.google.com/citations?hl=en&user=mMu85QUAAAAJ,"Information System, Universitas Teknokrat Indonesia",Verified email at teknokrat.ac.id,1492.0
Eko Bagus Fahrizqi,https://scholar.google.com/citations?hl=en&user=yFIIstgAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1470.0
Donaya Pasha,https://scholar.google.com/citations?hl=en&user=0podzVcAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1448.0
"Yusra Fernando, S.Kom., M.Kom.",https://scholar.google.com/citations?hl=en&user=wbKcI0MAAAAJ,Asistant Professor of Computer Science at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1428.0
Adi Sucipto,https://scholar.google.com/citations?hl=en&user=WXCZkqwAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1389.0
Syaiful Ahdan,https://scholar.google.com/citations?hl=en&user=pIpcwjEAAAAJ,Electrical Engineering at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1293.0
Syaiful Ahdan,https://scholar.google.com/citations?hl=en&user=k9T5wysAAAAJ,Electrical Engineering at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1290.0
Yuri Rahmanto,https://scholar.google.com/citations?hl=en&user=-JYGCEkAAAAJ,"Lecturer, Universitas Teknokrat Indonesia",Verified email at teknokrat.ac.id,1267.0
"Dr. Emi Suwarni, SE., M.Si",https://scholar.google.com/citations?hl=en&user=hH1WRAQAAAAJ,Assistant Professor of Economic Development at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1232.0
Nicky Dwi Puspaningtyas,https://scholar.google.com/citations?hl=en&user=6By2fD0AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1225.0
Neneng,https://scholar.google.com/citations?hl=en&user=SyQPXdUAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1221.0
Adhie Thyo Priandika,https://scholar.google.com/citations?hl=en&user=wWFZzVcAAAAJ,Analisis Pemodelan Perangkat Lunak,Verified email at teknokrat.ac.id,1184.0
Erliyan Redy Susanto,https://scholar.google.com/citations?hl=en&user=V2HJkLwAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1179.0
Putri Sukma Dewi,https://scholar.google.com/citations?hl=en&user=v2J6ecoAAAAJ,"Dosen pendidikan matematika, Universitas Teknokrat Indonesia",Verified email at teknokrat.ac.id,1178.0
Ade Surahman,https://scholar.google.com/citations?hl=en&user=QQ1G9ZIAAAAJ,Senior Lecturer at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1177.0
Debby Alita,https://scholar.google.com/citations?hl=en&user=qgDSA1EAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1159.0
Sampurna Dadi Riskiono,https://scholar.google.com/citations?hl=en&user=k8zbWRgAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1155.0
"Farli Rossi, ST, M.Sc.",https://scholar.google.com/citations?hl=en&user=CEesrdMAAAAJ,"lecturer, universitas teknokrat indonesia",Verified email at teknokrat.ac.id,1127.0
Sugama Maskar,https://scholar.google.com/citations?hl=en&user=plErDXwAAAAJ,Assistant Professor of Mathematics Education at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1117.0
Ajeng Savitri Puspaningrum,https://scholar.google.com/citations?hl=en&user=tE9RoSsAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1110.0
Dhiona Ayu Nani,https://scholar.google.com/citations?hl=en&user=LG5kMloAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1062.0
"Styawati, ST, M.Cs.",https://scholar.google.com/citations?hl=en&user=XtLzsRYAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,1019.0
Ryan Randy Suryono,https://scholar.google.com/citations?hl=en&user=9EkYs-gAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,989.0
Dyah Ayu Megawaty,https://scholar.google.com/citations?hl=en&user=InDfjpcAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,969.0
Agus Wantoro,https://scholar.google.com/citations?hl=en&user=MaJqcIAAAAAJ,UNIVERSITAS TEKNOKRAT INDONESIA,Verified email at teknokrat.ac.id,950.0
Lulud Oktaviani,https://scholar.google.com/citations?hl=en&user=m5y4_I4AAAAJ,"Assistant Professor of Teaching Pedagogy, Universitas Teknokrat Indonesia",Verified email at teknokrat.ac.id,950.0
Fatimah Mulya Sari,https://scholar.google.com/citations?hl=en&user=PITVlXQAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,948.0
